2018-02-26T16:03:48.260961,0,3,0,19,79.0,59.1,70.6
2018-02-26T16:03:50.267062,0,3,0,18,74.6,19.3,74.7
2018-02-26T16:03:53.582449,0,3,0,17,62.9,76.1,74.5
2018-02-26T16:04:04.541047,0,3,1,20,75.5,74.2,76.7
2018-02-26T16:04:12.468953,0,3,1,20,74.4,76.3,70.2
2018-02-26T16:04:23.756831,0,3,1,20,62.2,72.2,74.7
2018-02-26T16:04:32.804420,0,3,1,24,57.7,75.3,76.5
2018-02-26T16:04:50.264645,0,3,1,25,58.7,74.6,74.5
2018-02-26T16:04:58.332920,0,3,1,24,54.8,76.1,78.5
2018-02-26T16:05:00.384729,0,3,1,24,71.0,77.8,79.2
2018-02-26T16:05:10.270582,0,3,2,26,72.4,73.1,72.3
2018-02-26T16:05:27.461097,0,3,2,31,71.4,76.2,77.2
2018-02-26T16:05:33.932819,0,3,2,31,77.0,78.5,69.0
2018-02-26T16:05:45.790050,0,3,2,29,70.8,72.0,75.8
2018-02-26T16:06:03.166459,0,3,2,34,71.6,75.0,74.6
2018-02-26T16:06:06.312889,0,3,2,34,73.9,76.0,74.6
2018-02-26T16:06:09.441356,0,3,2,34,74.3,75.9,75.9
2018-02-26T16:06:15.378673,0,3,2,34,65.8,76.7,76.7
2018-02-26T16:06:26.849235,0,3,3,33,71.6,76.2,74.3
2018-02-26T16:06:38.206855,0,3,3,37,70.4,75.2,74.8
2018-02-26T16:06:46.249087,0,3,3,40,71.8,78.3,76.0
2018-02-26T16:06:54.394714,0,3,3,38,72.1,72.0,70.8
2018-02-26T16:07:04.308503,0,3,3,38,70.6,75.8,74.3
2018-02-26T16:07:22.265552,0,3,3,40,71.7,75.1,74.4
2018-02-26T16:07:33.324898,0,4,2,41,75.3,69.1,73.5,71.8
2018-02-26T16:07:38.248567,0,4,2,43,76.4,71.4,78.9,74.0
2018-02-26T16:07:42.473094,0,4,3,43,77.9,71.8,79.0,58.4
2018-02-26T16:07:48.416770,0,5,2,42,69.2,73.3,73.5,69.5,59.7
2018-02-26T16:08:04.165582,0,5,2,44,75.9,74.6,70.1,76.5,58.7
2018-02-26T16:08:10.661920,0,5,2,45,79.6,77.4,71.9,72.7,59.4
